Last Price,Open Price,Max,Min,Size,Change Persent,Class
16943.6,16537.5,17012.3,16499.7,1.31,0.0246,Bitcoin
123.75,153.48,158.29,121.28,26.22,0.1937,Ethereum
123.02,123.75,130.3,112.79,23.75,0.0059,Ethereum
115.83,123,123.52,112.36,31.96,0.0585,Ethereum
110.68,115.83,116.24,101.6,38.12,0.0445,Ethereum
119.44,110.67,122.58,102.28,44.09,0.0791,Ethereum
122.87,119.44,126.17,116.42,41.65,0.0287,Ethereum
158.3,122.88,159.31,122.78,59.72,0.2884,Ethereum
132.76,158.31,165.79,128.15,88.08,0.1614,Ethereum
137.52,132.77,168.42,123.25,94.15,0.0359,Ethereum
141.15,137.52,143.95,129.14,78.47,0.0263,Ethereum
137.53,141.15,141.87,133.05,77.1,0.0256,Ethereum
142.65,137.53,145.85,132.36,81.55,0.0373,Ethereum
165.55,142.65,177.29,140.26,138.31,0.1605,Ethereum
163.19,165.58,185.54,158.93,72.32,0.0142,Ethereum
172.73,163.19,176.71,153.65,57.15,0.0584,Ethereum
159.41,172.89,175.92,151.73,71.77,0.0771,Ethereum
163.68,159.43,171.04,152.6,64.81,0.0268,Ethereum
192.27,163.67,204.72,159.56,81.71,0.1747,Ethereum
233.89,192.17,278.52,182.81,138.47,0.2165,Ethereum
250.68,233.87,263.05,231.89,80.76,0.0718,Ethereum
264.31,250.69,287.99,241.51,92.0,0.0544,Ethereum
243.42,264.26,272.64,235.35,58.74,0.079,Ethereum
267.75,243.43,271.61,227,51.83,0.0999,Ethereum
310.38,267.74,314,261.76,58.55,0.1592,Ethereum
318.48,310.39,364.89,279.82,75.19,0.0261,Ethereum
288.08,318.26,323.21,273.07,60.28,0.0955,Ethereum
269.16,288.11,317.94,262.85,65.42,0.0657,Ethereum
227.86,269.12,269.62,192.91,85.63,0.1534,Ethereum
206.62,227.83,228.76,202.3,57.79,0.0932,Ethereum
220.89,206.64,223,199.68,51.56,0.0691,Ethereum
205.93,220.89,237.47,202.35,60.5,0.0678,Ethereum
184.81,205.92,216.23,106.01,82.86,0.1026,Ethereum
190.15,184.83,202.81,175.8,67.0,0.0289,Ethereum
171.62,190.16,193.09,164.04,57.67,0.0974,Ethereum
177.74,171.62,182.59,166.16,60.98,0.0356,Ethereum
188.16,177.76,188.54,174.86,59.26,0.0586,Ethereum
215.22,188.17,223.35,185.92,69.27,0.1438,Ethereum
173.62,215.23,215.64,153.17,85.82,0.1933,Ethereum
176.43,173.62,184.95,164.97,67.69,0.0162,Ethereum
179.87,176.44,195.87,168.74,78.51,0.0195,Ethereum
171.91,179.86,187.67,169.28,73.98,0.0443,Ethereum
179.62,171.93,192.54,154.42,73.16,0.0449,Ethereum
183.01,179.61,192.28,176.47,89.26,0.0189,Ethereum
184.96,183.01,194.11,179.46,80.29,0.0106,Ethereum
182.42,184.96,191.28,178.29,71.29,0.0138,Ethereum
152.46,182.39,185.97,139.13,91.26,0.1642,Ethereum
151.95,152.46,157.27,131.78,83.98,0.0033,Ethereum
148.28,151.93,152.33,143.95,68.17,0.0242,Ethereum
142.03,148.25,152.22,140,75.02,0.0421,Ethereum
127.61,142.03,143.87,117.14,104.63,0.1016,Ethereum
128.35,127.61,134.92,123.18,93.43,0.0058,Ethereum
134.33,128.35,137.74,126.05,94.22,0.0466,Ethereum
142.67,134.32,147.68,134.32,92.34,0.0621,Ethereum
174.19,142.65,179.8,142,113.12,0.2209,Ethereum
160.44,174.17,177.77,155.65,94.49,0.0789,Ethereum
183.64,160.4,186.76,159.55,82.7,0.1446,Ethereum
223.23,183.58,227.55,183.58,101.65,0.2156,Ethereum
264.87,223.23,287.93,217.02,137.45,0.1865,Ethereum
261.64,264.87,285.75,237.89,151.56,0.0122,Ethereum
217.52,261.65,276.81,210.36,162.44,0.1686,Ethereum
237.32,217.51,251.55,213,121.65,0.091,Ethereum
122.69,237.3,237.3,88.5,267.66,0.483,Ethereum
132.58,122.67,151.85,102.44,230.26,0.0806,Ethereum
131.03,132.59,142.9,120.2,159.16,0.0117,Ethereum
144.01,131.02,148.91,124.84,149.27,0.0991,Ethereum
158.18,144.03,175.78,140.84,193.42,0.0984,Ethereum
187.45,158.18,189.22,148.91,162.42,0.1851,Ethereum
194.01,187.47,197.35,167.51,172.27,0.035,Ethereum
213.96,194.01,227.05,190.87,182.28,0.1028,Ethereum
210.22,213.96,218.74,195.25,167.36,0.0175,Ethereum
200.51,210.19,210.19,177.43,149.67,0.0462,Ethereum
206.62,200.51,217,192.11,97.96,0.0305,Ethereum
243.63,206.65,246.55,197.3,79.23,0.1791,Ethereum
242,243.63,253.21,227.95,69.61,0.0067,Ethereum
238.22,242,249.77,227.01,55.72,0.0156,Ethereum
228.86,238.23,238.48,219.06,44.84,0.0393,Ethereum
221.06,228.87,249.23,217.11,46.55,0.0341,Ethereum
229.15,221.07,232.47,218.46,42.17,0.0366,Ethereum
239.2,229.09,248.76,223.79,56.72,0.0439,Ethereum
235.75,239.2,245.04,230.44,47.89,0.0144,Ethereum
305.32,235.72,308.57,233.35,48.08,0.2951,Ethereum
387.14,305.32,392.37,300.33,67.8,0.268,Ethereum
396.76,387.15,415.08,335.76,69.12,0.0249,Ethereum
432.18,396.78,443.74,367.05,59.91,0.0893,Ethereum
395.56,432.22,444.86,379.96,53.12,0.0847,Ethereum
398.8,395.56,410.17,370.4,46.14,0.0082,Ethereum
334.91,398.8,488.24,314.13,137.06,0.1602,Ethereum
387.98,334.91,388.12,316.69,116.2,0.1585,Ethereum
385.25,388.06,393.96,353.85,69.03,0.0071,Ethereum
354.25,385.33,385.39,315.54,67.78,0.0805,Ethereum
345.6,354.26,369.1,335.91,48.18,0.0244,Ethereum
370.16,345.6,377.97,334.11,45.4,0.071,Ethereum
368.63,370.28,394.58,362.65,54.73,0.0041,Ethereum
411.92,368.61,420.12,367.16,61.61,0.1174,Ethereum
386.42,412.44,417.07,374.36,36.94,0.0619,Ethereum
435.4,386.36,467.88,370.96,47.8,0.1268,Ethereum
460.7,435.39,477.78,432.44,99.07,0.0581,Ethereum
551.91,460.75,552.13,440.44,114.89,0.198,Ethereum
537.74,551.9,621.7,484.03,167.78,0.0257,Ethereum
596.68,537.89,635.66,530.71,246.34,0.1096,Ethereum
567.78,596.61,606.9,530.88,112.41,0.0484,Ethereum
658.17,568.07,675.68,563.37,17.51,0.1592,Ethereum
636.58,657.79,661.04,554.09,13.54,0.0328,Ethereum
774.5,636.35,787.26,627.12,13.07,0.2167,Ethereum
1275.58,774.54,1301.75,769.57,24.32,0.647,Ethereum
1228.27,1275.87,1347.98,917.96,19.35,0.0371,Ethereum
1233.4,1228.33,1437.42,1045.02,17.28,0.0042,Ethereum
1376.96,1233.41,1474.68,1210.4,17.87,0.1164,Ethereum
1676.63,1377.05,1760.09,1272.09,14.22,0.2176,Ethereum
1815.49,1676.62,1871.36,1491.68,13.12,0.0828,Ethereum
1913.88,1815.44,2040.79,1661.09,10.99,0.0542,Ethereum
1458.93,1912.97,1974.99,1370.45,15.77,0.2377,Ethereum
1649.19,1458.84,1670.01,1294.79,11.79,0.1304,Ethereum
1921.13,1650.94,1943.36,1634.73,10.86,0.1649,Ethereum
1804.6,1921.29,1932.36,1715.97,9.62,0.0607,Ethereum
1713.01,1804.6,1815.85,1546.48,11.16,0.0508,Ethereum
2008.59,1712.89,2144.11,1661.92,14.28,0.1726,Ethereum
2133.79,2007.82,2197.73,1939.64,14.71,0.0623,Ethereum
2318.33,2133.89,2544.54,2103.73,14.66,0.0865,Ethereum
2215.93,2317.88,2642.99,1948.93,18.5,0.0442,Ethereum
2944.66,2217.23,2951.74,2169.91,10.71,0.3289,Ethereum
3905.55,2945.04,3952.88,2854.12,12.4,0.3263,Ethereum
3641.65,3905.69,4366.1,3539.96,15.99,0.0676,Ethereum
2291.6,3643.67,3877.2,1922.25,26.61,0.3707,Ethereum
2276.07,2292.68,2908.37,1739.91,19.94,0.0068,Ethereum
2628.98,2276.97,2889.19,2181.93,16.66,0.1551,Ethereum
2368.47,2628.43,2842.88,2260.8,9.63,0.0991,Ethereum
2166.91,2368.68,2637.9,2142.74,9.96,0.0851,Ethereum
1830.62,2166.3,2276.83,1707.24,13.62,0.1552,Ethereum
2224.7,1830.42,2281.55,1808.59,11.33,0.2153,Ethereum
2111.12,2224.7,2402.68,2066.09,9.93,0.0511,Ethereum
1897.98,2110.9,2173.34,1851.97,4.92,0.101,Ethereum
2151.85,1898.01,2162.29,1720.7,7.25,0.1338,Ethereum
2532.19,2166.98,2551.68,2108.74,7.54,0.1767,Ethereum
3158.0,2530.94,3169.74,2445.49,7.3,0.2471,Ethereum
3264.69,3158.3,3328.38,2899.24,7.31,0.0338,Ethereum
3223.96,3264.56,3334.22,2951.04,5.7,0.0125,Ethereum
3243.9,3224.17,3375.42,3057.48,5.48,0.0062,Ethereum
3884.97,3243.96,4024.89,3145.53,7.84,0.1976,Ethereum
3267.33,3885.4,3981.22,3061.3,8.18,0.159,Ethereum
3435.97,3267.33,3672.68,3118.66,5.35,0.0516,Ethereum
2922.55,3435.92,3455.67,2659.71,9.6,0.1494,Ethereum
3388.97,2922.47,3467.95,2740.12,7.07,0.1596,Ethereum
3574.2,3388.83,3668.35,3273.22,5.38,0.0547,Ethereum
3827.55,3574.52,3967.43,3381.43,4.74,0.0709,Ethereum
4168.85,3827.55,4366.91,3664.63,4.8,0.0892,Ethereum
4320.65,4168.8,4458.3,3896.33,4.93,0.0364,Ethereum
4517.36,4322.0,4661.88,4157.51,3.71,0.0455,Ethereum
4644.61,4517.27,4864.06,4498.78,3.86,0.0282,Ethereum
4408.85,4644.4,4769.38,3958.44,4.53,0.0508,Ethereum
4094.8,4409.02,4549.74,3917.43,5.03,0.0712,Ethereum
4123.46,4095.16,4778.14,3533.02,5.2,0.007,Ethereum
4075.66,4118.27,4482.89,3836.92,5.12,0.0116,Ethereum
3959.83,4078.17,4173.21,3649.69,4.52,0.0284,Ethereum
4093.14,3959.9,4149.17,3757.42,3.17,0.0337,Ethereum
3765.67,4093.38,4125.22,3589.64,2.74,0.08,Ethereum
3080.02,3765.67,3889.07,3001.76,4.24,0.1821,Ethereum
3327.74,3079.89,3407.98,2931.68,3.54,0.0804,Ethereum
2412.52,3326.5,3388.22,2311.8,4.86,0.275,Ethereum
2600.02,2412.52,2719.32,2161.55,6.08,0.0777,Ethereum
3013.81,2600.12,3058.88,2478.85,4.51,0.1591,Ethereum
2917.1,3013.75,3277.36,2858.85,3.93,0.0321,Ethereum
2763.81,2917.16,3193.18,2699.7,3.63,0.0525,Ethereum
2776.96,2763.97,2856.01,2303.07,6.53,0.0048,Ethereum
2665.42,2779.55,3041.84,2562.94,2.81,0.0402,Ethereum
2569.8,2665.42,2772.09,2447.74,9.41,0.0359,Ethereum
2949.92,2569.8,2984.0,2494.59,8.97,0.1479,Ethereum
3146.01,2950.03,3192.73,2819.27,4.08,0.0665,Ethereum
3442.34,3145.95,3529.63,3126.46,3.92,0.0942,Ethereum
3259.35,3442.34,3579.82,3143.96,4.36,0.0532,Ethereum
3058.96,3259.59,3306.14,2951.8,3.72,0.0615,Ethereum
2931.9,3058.96,3176.69,2887.25,3.67,0.0415,Ethereum
2727.18,2931.9,3032.7,2716.31,4.36,0.0698,Ethereum
2636.03,2727.2,2963.54,2589.29,4.88,0.0334,Ethereum
2056.3,2636.03,2641.84,1796.24,12.96,0.2199,Ethereum
1975.12,2056.33,2161.78,1903.67,5.27,0.0395,Ethereum
1792.68,1975.12,2086.21,1708.62,6.88,0.0924,Ethereum
1804.37,1792.25,2015.02,1740.83,6.55,0.0065,Ethereum
1531.42,1804.6,1919.4,1503.15,6.92,0.1513,Ethereum
995.61,1531.5,1542.01,883.35,17.72,0.3499,Ethereum
1241.76,995.49,1255.55,938.24,12.5,0.2472,Ethereum
1066.6,1241.8,1276.81,1000.77,10.28,0.1411,Ethereum
1216.94,1066.6,1275.69,1041.82,9.17,0.141,Ethereum
1356.08,1216.94,1399.16,1012.29,11.73,0.1143,Ethereum
1549.61,1356.0,1644.99,1323.23,12.01,0.1427,Ethereum
1695.97,1549.61,1781.39,1357.7,10.8,0.0945,Ethereum
1690.27,1695.99,1752.94,1560.17,7.25,0.0034,Ethereum
1983.5,1690.29,2018.97,1657.78,6.96,0.1735,Ethereum
1575.6,1983.52,2028.4,1525.51,7.4,0.2057,Ethereum
1490.83,1575.61,1720.84,1449.31,7.14,0.0538,Ethereum
1557.55,1490.88,1647.5,1424.33,6.68,0.0448,Ethereum
1774.38,1557.35,1788.1,1493.19,5.79,0.1392,Ethereum
1468.79,1774.38,1786.73,1409.65,6.64,0.1722,Ethereum
1317.0,1468.76,1469.21,1222.29,7.6,0.1033,Ethereum
1311.8,1317.01,1399.67,1261.29,6.27,0.004,Ethereum
